7.2.0.006,8.0.0,Transition notes
Refrigeration Chiller Compressor Rack Sensible Heating Rate to Zone,Refrigeration Air Chiller Compressor Rack Zone Sensible Heating Rate,
Refrigeration Chiller Compressor Rack Total Heat Transfer Energy,Refrigeration Air Chiller Compressor Rack Total Heat Transfer Energy,
Refrigeration Chiller Compressor Rack Total Heat Transfer Rate,Refrigeration Air Chiller Compressor Rack Total Heat Transfer Rate,
Refrigeration Chiller Compressor Run Time Fraction,Refrigeration Air Chiller System Compressor Runtime Fraction,
Refrigeration Chiller Liquid Suction Subcooler Load Transfer Energy,Refrigeration Air Chiller System Liquid Suction Subcooler Heat Transfer Energy,
Refrigeration Chiller Liquid Suction Subcooler Load Transfer Rate,Refrigeration Air Chiller System Liquid Suction Subcooler Heat Transfer Rate,
Refrigeration Chiller Mechanical Subcooler Load Transfer Energy,Refrigeration Air Chiller System Mechanical Subcooler Heat Transfer Energy,
Refrigeration Chiller Mechanical Subcooler Load Transfer Rate,Refrigeration Air Chiller System Mechanical Subcooler Heat Transfer Rate,
Refrigeration Chiller Secondary Loop Coolant Vol Flow,Refrigeration Air Chiller Secondary Loop Volume Flow Rate,
Refrigeration Chiller Secondary Loop Estimated Refrigerant Inventory,Refrigeration Air Chiller Secondary Loop Estimated Refrigerant Inventory Mass,
Refrigeration Chiller Secondary Loop Pipe Heat Gain Energy,Refrigeration Air Chiller Secondary Loop Pipe Heat Gain Energy,
Refrigeration Chiller Secondary Loop Pipe Heat Gain Rate,Refrigeration Air Chiller Secondary Loop Pipe Heat Gain Rate,
Refrigeration Chiller Secondary Loop Pump Electric Consumption,Refrigeration Air Chiller Secondary Loop Pump Electric Energy,
Refrigeration Chiller Secondary Loop Pump Electric Power,Refrigeration Air Chiller Secondary Loop Pump Electric Power,
Refrigeration Chiller Secondary Loop Receiver Heat Gain Energy,Refrigeration Air Chiller Secondary Loop Receiver Heat Gain Energy,
Refrigeration Chiller Secondary Loop Receiver Heat Gain Rate,Refrigeration Air Chiller Secondary Loop Receiver Heat Gain Rate,
Refrigeration Chiller Secondary Loop Refrigeration Heat Transfer Energy,Refrigeration Air Chiller Secondary Loop Load Heat Transfer Energy,
Refrigeration Chiller Secondary Loop Refrigeration Heat Transfer Rate,Refrigeration Air Chiller Secondary Loop Load Heat Transfer Rate,
Refrigeration Chiller Secondary Loop Total Heat Transfer Energy,Refrigeration Air Chiller Secondary Loop Total Heat Transfer Energy,
Refrigeration Chiller Secondary Loop Total Heat Transfer Rate,Refrigeration Air Chiller Secondary Loop Total Heat Transfer Rate,
Refrigeration Chiller System Average Compressor COP,Refrigeration Air Chiller System Average Compressor COP,
Refrigeration Chiller System Condenser Basin Heater Electric Consumption,Refrigeration Air Chiller System Condenser Basin Heater Electric Energy,
Refrigeration Chiller System Condenser Basin Heater Electric Power,Refrigeration Air Chiller System Condenser Basin Heater Electric Power,
Refrigeration Chiller System Condenser Fan Electric Consumption,Refrigeration Air Chiller System Condenser Fan Electric Energy,
Refrigeration Chiller System Condenser Fan Electric Power,Refrigeration Air Chiller System Condenser Fan Electric Power,
Refrigeration Chiller System Condenser Heat Recovered for Non-Refrigeration Purposes Energy,Refrigeration Air Chiller System Condenser Non Refrigeration Recovered Heat Transfer Energy,
Refrigeration Chiller System Condenser Heat Recovered for Non-Refrigeration Purposes Rate,Refrigeration Air Chiller System Condenser Non Refrigeration Recovered Heat Transfer Rate,
Refrigeration Chiller System Condenser Heat Recovered for Refrigeration Defrost Energy,Refrigeration Air Chiller System Condenser Defrost Recovered Heat Transfer Energy,
Refrigeration Chiller System Condenser Heat Recovered for Refrigeration Defrost Rate,Refrigeration Air Chiller System Condenser Defrost Recovered Heat Transfer Rate,
Refrigeration Chiller System Condenser Heat Transfer Energy,Refrigeration Air Chiller System Condenser Heat Transfer Energy,
Refrigeration Chiller System Condenser Heat Transfer Rate,Refrigeration Air Chiller System Condenser Heat Transfer Rate,
Refrigeration Chiller System Condenser Pump Electric Consumption,Refrigeration Air Chiller System Condenser Pump Electric Energy,
Refrigeration Chiller System Condenser Pump Electric Power,Refrigeration Air Chiller System Condenser Pump Electric Power,
Refrigeration Chiller System Condenser Total Recovered Heat Energy,Refrigeration Air Chiller System Condenser Total Recovered Heat Transfer Energy,
Refrigeration Chiller System Condenser Total Recovered Heat Rate,Refrigeration Air Chiller System Condenser Total Recovered Heat Transfer Rate,
Refrigeration Chiller System Condenser Water Consumption,Refrigeration Air Chiller System Condenser Evaporated Water Volume,
Refrigeration Chiller System Condenser Water Consumption Rate,Refrigeration Air Chiller System Condenser Evaporated Water Volume Flow Rate,
Refrigeration Chiller System Condenser Water Mass Flow Rate,Refrigeration Air Chiller System Condenser Fluid Mass Flow Rate,
Refrigeration Chiller System Condensing Temperature,Refrigeration Air Chiller System Condensing Temperature,
Refrigeration Chiller System Estimated High-Stage Refrigerant Mass Flow,Refrigeration Air Chiller System Estimated High Stage Refrigerant Mass Flow Rate,
Refrigeration Chiller System Estimated Low-Stage Refrigerant Mass Flow,Refrigeration Air Chiller System Estimated Low Stage Refrigerant Mass Flow Rate,
Refrigeration Chiller System Estimated Refrigerant Mass Flow,Refrigeration Air Chiller System Estimated Refrigerant Mass Flow Rate,
Refrigeration Chiller System Evaporating Temperature,Refrigeration Air Chiller System Evaporating Temperature,
Refrigeration Chiller System Intercooler Pressure,Refrigeration Air Chiller System Intercooler Pressure,
Refrigeration Chiller System Intercooler Temperature,Refrigeration Air Chiller System Intercooler Temperature,
Refrigeration Chiller System Liquid Temperature to TXV,Refrigeration Air Chiller System TXV Liquid Temperature,
Refrigeration Chiller System Net Heat Rejected Energy,Refrigeration Air Chiller System Net Rejected Heat Transfer Energy,
Refrigeration Chiller System Net Heat Rejected Rate,Refrigeration Air Chiller System Net Rejected Heat Transfer Rate,
Refrigeration Chiller System Refrigerant Inventory,Refrigeration Air Chiller System Estimated Refrigerant Inventory Mass,
Refrigeration Chiller System Suction Temperature,Refrigeration Air Chiller System Suction Temperature,
Refrigeration Chiller System Total Air Chiller Heat Transfer Rate,Refrigeration Air Chiller System Total Air Chiller Heat Transfer Rate,
Refrigeration Chiller System Total Cases and Walk-Ins Heat Transfer Energy,Refrigeration Air Chiller System Total Case and Walk In Heat Transfer Energy,
Refrigeration Chiller System Total Compressor Electric Consumption,Refrigeration Air Chiller System Total Compressor Electric Energy,
Refrigeration Chiller System Total Compressor Electric Power,Refrigeration Air Chiller System Total Compressor Electric Power,
Refrigeration Chiller System Total Compressor Heat Transfer Energy,Refrigeration Air Chiller System Total Compressor Heat Transfer Energy,
Refrigeration Chiller System Total Compressor Heat Transfer Rate,Refrigeration Air Chiller System Total Compressor Heat Transfer Rate,
Refrigeration Chiller System Total High-Stage Compressor Electric Consumption,Refrigeration Air Chiller System Total High Stage Compressor Electric Energy,
Refrigeration Chiller System Total High-Stage Compressor Electric Power,Refrigeration Air Chiller System Total High Stage Compressor Electric Power,
Refrigeration Chiller System Total High-Stage Compressor Heat Transfer Energy,Refrigeration Air Chiller System Total High Stage Compressor Heat Transfer Energy,
Refrigeration Chiller System Total High-Stage Compressor Heat Transfer Rate,Refrigeration Air Chiller System Total High Stage Compressor Heat Transfer Rate,
Refrigeration Chiller System Total Low- and High-Stage Compressor Electric Consumption,Refrigeration Air Chiller System Total Low and High Stage Compressor Electric Energy,
Refrigeration Chiller System Total Low-Stage Compressor Electric Consumption,Refrigeration Air Chiller System Total Low Stage Compressor Electric Energy,
Refrigeration Chiller System Total Low-Stage Compressor Electric Power,Refrigeration Air Chiller System Total Low Stage Compressor Electric Power,
Refrigeration Chiller System Total Low-Stage Compressor Heat Transfer Energy,Refrigeration Air Chiller System Total Low Stage Compressor Heat Transfer Energy,
Refrigeration Chiller System Total Low-Stage Compressor Heat Transfer Rate,Refrigeration Air Chiller System Total Low Stage Compressor Heat Transfer Rate,
Refrigeration Chiller System Total Suction Pipe Heat Gain Energy,Refrigeration Air Chiller System Total Suction Pipe Heat Gain Energy,
Refrigeration Chiller System Total Suction Pipe Heat Gain Rate,Refrigeration Air Chiller System Total Suction Pipe Heat Gain Rate,
Refrigeration Chiller System Total Transferred Load Heat Transfer Energy,Refrigeration Air Chiller System Total Transferred Load Heat Transfer Energy,
Refrigeration Chiller System Total Transferred Load Heat Transfer Rate,Refrigeration Air Chiller System Total Transferred Load Heat Transfer Rate,
Refrigeration Compressor Rack Condenser Fan Electric Consumption,Refrigeration Compressor Rack Condenser Fan Electric Energy,
Refrigeration Compressor Rack Electric Consumption,Refrigeration Compressor Rack Electric Energy,
Refrigeration Compressor Rack Evap Cond Basin Heater Elec Consumption,Refrigeration Compressor Rack Evaporative Condenser Basin Heater Electric Energy,
Refrigeration Compressor Rack Evap Cond Basin Heater Elec Power,Refrigeration Compressor Rack Evaporative Condenser Basin Heater Electric Power,
Refrigeration Compressor Rack Evap Condenser Pump Elec Consumption,Refrigeration Compressor Rack Evaporative Condenser Pump Electric Energy,
Refrigeration Compressor Rack Evap Condenser Pump Electric Power,Refrigeration Compressor Rack Evaporative Condenser Pump Electric Power,
Refrigeration Compressor Rack Evap Condenser Water Consumption,Refrigeration Compressor Rack Evaporative Condenser Water Volume,
Refrigeration Compressor Rack Evap Condenser Water Consumption Rate,Refrigeration Compressor Rack Evaporative Condenser Water Volume Flow Rate,
Refrigeration Compressor Rack Sensible Heating Energy To HVAC Return Air,Refrigeration Compressor Rack Return Air Sensible Heating Energy,
Refrigeration Compressor Rack Sensible Heating Energy To Zone,Refrigeration Compressor Rack Zone Sensible Heating Energy,
Refrigeration Compressor Rack Sensible Heating Rate To HVAC Return Air,Refrigeration Compressor Rack Return Air Sensible Heating Rate,
Refrigeration Compressor Rack Sensible Heating Rate to Zone,Refrigeration Compressor Rack Zone Sensible Heating Rate,
Refrigeration Compressor Run Time Fraction,Refrigeration Compressor Runtime Fraction,
Refrigeration Liquid Suction Subcooler Load Transfer Energy,Refrigeration System Liquid Suction Subcooler Heat Transfer Energy,
Refrigeration Liquid Suction Subcooler Load Transfer Rate,Refrigeration System Liquid Suction Subcooler Heat Transfer Rate,
Refrigeration Mechanical Subcooler Load Transfer Energy,Refrigeration System Mechanical Subcooler Heat Transfer Energy,
Refrigeration Mechanical Subcooler Load Transfer Rate,Refrigeration System Mechanical Subcooler Heat Transfer Rate,
Refrigeration Secondary Loop Coolant Vol Flow,Refrigeration Secondary Loop Volume Flow Rate,
Refrigeration Secondary Loop Estimated Refrigerant Inventory,Refrigeration Secondary Loop Estimated Refrigerant Inventory Mass,
Refrigeration Secondary Loop Pump Electric Consumption,Refrigeration Secondary Loop Pump Electric Energy,
Refrigeration Secondary Loop Refrigeration Heat Transfer Energy,Refrigeration Secondary Loop Load Heat Transfer Energy,
Refrigeration Secondary Loop Refrigeration Heat Transfer Rate,Refrigeration Secondary Loop Load Heat Transfer Rate,
Refrigeration System Condenser Basin Heater Electric Consumption,Refrigeration System Condenser Basin Heater Electric Energy,
Refrigeration System Condenser Fan Electric Consumption,Refrigeration System Condenser Fan Electric Energy,
Refrigeration System Condenser Heat Recovered for Non-Refrigeration Purposes Energy,Refrigeration System Condenser Non Refrigeration Recovered Heat Transfer Energy,
Refrigeration System Condenser Heat Recovered for Non-Refrigeration Purposes Rate,Refrigeration System Condenser Non Refrigeration Recovered Heat Transfer Rate,
Refrigeration System Condenser Heat Recovered for Refrigeration Defrost Energy,Refrigeration System Condenser Defrost Recovered Heat Transfer Energy,
Refrigeration System Condenser Heat Recovered for Refrigeration Defrost Rate,Refrigeration System Condenser Defrost Recovered Heat Transfer Rate,
Refrigeration System Condenser Pump Electric Consumption,Refrigeration System Condenser Pump Electric Energy,
Refrigeration System Condenser Total Recovered Heat Energy,Refrigeration System Condenser Total Recovered Heat Transfer Energy,
Refrigeration System Condenser Total Recovered Heat Rate,Refrigeration System Condenser Total Recovered Heat Transfer Rate,
Refrigeration System Condenser Water Consumption,Refrigeration System Condenser Evaporated Water Volume,
Refrigeration System Condenser Water Consumption Rate,Refrigeration System Condenser Evaporated Water Volume Flow Rate,
Refrigeration System Estimated High-Stage Refrigerant Mass Flow,Refrigeration System Estimated High Stage Refrigerant Mass Flow Rate,
Refrigeration System Estimated Low-Stage Refrigerant Mass Flow,Refrigeration System Estimated Low Stage Refrigerant Mass Flow Rate,
Refrigeration System Estimated Refrigerant Mass Flow,Refrigeration System Estimated Refrigerant Mass Flow Rate,
Refrigeration System Liquid Temperature to TXV,Refrigeration System Thermostatic Expansion Valve Liquid Temperature,
Refrigeration System Net Heat Rejected Energy,Refrigeration System Net Rejected Heat Transfer Energy,
Refrigeration System Net Heat Rejected Rate,Refrigeration System Net Rejected Heat Transfer Rate,
Refrigeration System Refrigerant Inventory,Refrigeration System Estimated Refrigerant Inventory Mass,
Refrigeration System Suction Temperature,Refrigeration System Suction Pipe Suction Temperature,
Refrigeration System Total Cases and Walk-Ins Heat Transfer Energy,Refrigeration System Total Cases and Walk Ins Heat Transfer Energy,
Refrigeration System Total Cases and Walk-Ins Heat Transfer Rate,Refrigeration System Total Cases and Walk Ins Heat Transfer Rate,
Refrigeration System Total Compressor Electric Consumption,Refrigeration System Total Compressor Electric Energy,
Refrigeration System Total High-Stage Compressor Electric Consumption,Refrigeration System Total High Stage Compressor Electric Energy,
Refrigeration System Total High-Stage Compressor Electric Power,Refrigeration System Total High Stage Compressor Electric Power,
Refrigeration System Total High-Stage Compressor Heat Transfer Energy,Refrigeration System Total High Stage Compressor Heat Transfer Energy,
Refrigeration System Total High-Stage Compressor Heat Transfer Rate,Refrigeration System Total High Stage Compressor Heat Transfer Rate,
Refrigeration System Total Low- and High-Stage Compressor Electric Consumption,Refrigeration System Total Low and High Stage Compressor Electric Energy,
Refrigeration System Total Low-Stage Compressor Electric Consumption,Refrigeration System Total Low Stage Compressor Electric Energy,
Refrigeration System Total Low-Stage Compressor Electric Power,Refrigeration System Total Low Stage Compressor Electric Power,
Refrigeration System Total Low-Stage Compressor Heat Transfer Energy,Refrigeration System Total Low Stage Compressor Heat Transfer Energy,
Refrigeration System Total Low-Stage Compressor Heat Transfer Rate,Refrigeration System Total Low Stage Compressor Heat Transfer Rate,
Roof Irrigation Actual Amount,Water System Roof Irrigation Actual Depth,
Roof Irrigation Scheduled Amount,Water System Roof Irrigation Scheduled Depth,
Room Air Vertical Temperature Gradient,Room Air Zone Vertical Temperature Gradient,
Screen Beam-Beam Solar Transmittance,Surface Window Screen Beam to Beam Solar Transmittance,
Screen Beam-Diffuse Solar Transmittance,Surface Window Screen Beam to Diffuse Solar Transmittance,
Screen Diffuse-Diffuse Solar Transmittance,Surface Window Screen Diffuse to Diffuse Solar Transmittance,
Screen/Glass System Beam-Beam Solar Transmittance,Surface Window Screen and Glazing System Beam Solar Transmittance,
Screen/Glass System Diffuse-Diffuse Solar Transmittance,Surface Window Screen and Glazing System Diffuse Solar Transmittance,
Secondary Side Common Pipe Mass Flow Rate,Plant Common Pipe Secondary Mass Flow Rate,
Secondary to Primary Mass Flow Rate,Plant Common Pipe Secondary to Primary Mass Flow Rate,
Sensible Water Cooling Coil Energy,Cooling Coil Sensible Cooling Energy,
Sensible Water Cooling Coil Rate,Cooling Coil Sensible Cooling Rate,
Site Precipitation,Site Precipitation Depth,
Sky Brightness for Daylighting Calculation,Site Daylighting Model Sky Brightness,
Sky Clearness for Daylighting Calculation,Site Daylighting Model Sky Clearness,
Sky Temperature,Site Sky Temperature,
SO2 Pollution From Coal,Environmental Impact Coal SO2 Emissions Mass,
SO2 Pollution From Diesel,Environmental Impact Diesel SO2 Emissions Mass,
SO2 Pollution From Electricity,Environmental Impact Electricity SO2 Emissions Mass,
SO2 Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 SO2 Emissions Mass,
SO2 Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 SO2 Emissions Mass,
SO2 Pollution From Gasoline,Environmental Impact Gasoline SO2 Emissions Mass,
SO2 Pollution From Natural Gas,Environmental Impact Natural Gas SO2 Emissions Mass,
SO2 Pollution From Propane,Environmental Impact Propane SO2 Emissions Mass,
Solar Altitude Angle,Site Solar Altitude Angle,
Solar Azimuth Angle,Site Solar Azimuth Angle,
Solar Horizontal Profile Angle,Surface Window Solar Horizontal Profile Angle,
Solar Hour Angle,Site Solar Hour Angle,
Solar Vertical Profile Angle,Surface Window Solar Vertical Profile Angle,
Source From Coal,Environmental Impact Coal Source Energy,
Source From Diesel,Environmental Impact Diesel Source Energy,
Source From Electricity,Environmental Impact Electricity Source Energy,
Source From Electricity Purchased,Environmental Impact Purchased Electricity Source Energy,
Source From Fuel Oil #1,Environmental Impact Fuel Oil #1 Source Energy,
Source From Fuel Oil #2,Environmental Impact Fuel Oil #2 Source Energy,
Source From Gasoline,Environmental Impact Gasoline Source Energy,
Source From Natural Gas,Environmental Impact Natural Gas Source Energy,
Source From Propane,Environmental Impact Propane Source Energy,
Source From Surplus Electricity Sold,Environmental Impact Surplus Sold Electricity Source,
Source Location Temperature,Surface Internal Source Location Temperature,
Stand Alone ERV Electric Consumption,Zone Ventilator Electric Energy,
Stand Alone ERV Electric Power,Zone Ventilator Electric Power,
Stand Alone ERV Supply Fan Availability Status,Zone Ventilator Supply Fan Availability Status,
Stand Alone ERV Zone Latent Cooling Energy,Zone Ventilator Latent Cooling Energy,
Stand Alone ERV Zone Latent Cooling Rate,Zone Ventilator Latent Cooling Rate,
Stand Alone ERV Zone Latent Heating Energy,Zone Ventilator Latent Heating Energy,
Stand Alone ERV Zone Latent Heating Rate,Zone Ventilator Latent Heating Rate,
Stand Alone ERV Zone Sensible Cooling Energy,Zone Ventilator Sensible Cooling Energy,
Stand Alone ERV Zone Sensible Cooling Rate,Zone Ventilator Sensible Cooling Rate,
Stand Alone ERV Zone Sensible Heating Energy,Zone Ventilator Sensible Heating Energy,
Stand Alone ERV Zone Sensible Heating Rate,Zone Ventilator Sensible Heating Rate,
Stand Alone ERV Zone Total Cooling Energy,Zone Ventilator Total Cooling Energy,
Stand Alone ERV Zone Total Cooling Rate,Zone Ventilator Total Cooling Rate,
Stand Alone ERV Zone Total Heating Energy,Zone Ventilator Total Heating Energy,
Stand Alone ERV Zone Total Heating Rate,Zone Ventilator Total Heating Rate,
Steam Coil Inlet Temp,Heating Coil Steam Inlet Temperature,
Steam Coil Mass Flow Rate,Heating Coil Steam Mass Flow Rate,
Steam Coil Outlet Temp,Heating Coil Steam Outlet Temperature,
Steam Equipment Convective Heat Gain,Steam Equipment Convective Heating Energy,
Steam Equipment Convective Heat Gain Rate,Steam Equipment Convective Heating Rate,
Steam Equipment District Heating Consumption,Steam Equipment District Heating Energy,
Steam Equipment District Heating Consumption Rate,Steam Equipment District Heating Rate,
Steam Equipment Latent Heat Gain,Steam Equipment Latent Gain Energy,
Steam Equipment Latent Heat Gain Rate,Steam Equipment Latent Gain Rate,
Steam Equipment Lost Heat Gain,Steam Equipment Lost Heat Energy,
Steam Equipment Lost Heat Gain Rate,Steam Equipment Lost Heat Rate,
Steam Equipment Radiant Heat Gain,Steam Equipment Radiant Heating Energy,
Steam Equipment Radiant Heat Gain Rate,Steam Equipment Radiant Heating Rate,
Steam Equipment Total Heat Gain,Steam Equipment Total Heating Energy,
Steam Equipment Total Heat Gain Rate,Steam Equipment Total Heating Rate,
Storage Tank Inlet Volumetric Flow Rate,Water System Storage Tank Inlet Volume Flow Rate,
Storage Tank Mains Water,Water System Storage Tank Mains Water Volume,
Storage Tank Mains Water Volumetric Rate,Water System Storage Tank Mains Water Volume Flow Rate,
Storage Tank Net Volumetric Flow Rate,Water System Storage Tank Net Volume Flow Rate,
Storage Tank Outlet Volumetric Flow Rate,Water System Storage Tank Outlet Volume Flow Rate,
Storage Tank Overflow Temperature,Water System Storage Tank Overflow Temperature,
Storage Tank Overflow Volumetric Flow Rate,Water System Storage Tank Overflow Volume Flow Rate,
Storage Tank Overflow Water,Water System Storage Tank Overflow Water Volume,
Storage Tank Volume,Water System Storage Tank Volume,
Storage Tank Water Temperature,Water System Storage Tank Water Temperature,
Storm Window On/Off Flag,Surface Storm Window On Off Status,
Surface Ext Beam Sol From Bm-To-Bm Refl From Obstructions,Surface Outside Face Incident Beam To Beam Surface Reflected Solar Radiation Rate per Area,
Surface Ext Diff Sol From Bm-To-Diff Refl From Obstructions,Surface Outside Face Incident Beam To Diffuse Surface Reflected Solar Radiation Rate per Area,
Surface Ext Solar Beam Cosine Of Incidence Angle,Surface Outside Face Beam Solar Incident Angle Cosine Value,
Surface Ext Solar Beam Incident,Surface Outside Face Incident Beam Solar Radiation Rate per Area,
Surface Ext Solar From Bm-To-Diff Refl From Ground,Surface Outside Face Incident Beam To Diffuse Ground Reflected Solar Radiation Rate per Area,
Surface Ext Solar From Sky Diffuse Refl From Ground,Surface Outside Face Incident Sky Diffuse Ground Reflected Solar Radiation Rate per Area,
Surface Ext Solar From Sky Diffuse Refl From Obstructions,Surface Outside Face Incident Sky Diffuse Surface Reflected Solar Radiation Rate per Area,
Surface Ext Solar Ground Diffuse Incident,Surface Outside Face Incident Ground Diffuse Solar Radiation Rate per Area,
Surface Ext Solar Incident,Surface Outside Face Incident Solar Radiation Rate per Area,
Surface Ext Solar Sky Diffuse Incident,Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area,
Surface Ext Sunlit Area,Surface Outside Face Sunlit Area,
Surface Ext Sunlit Fraction,Surface Outside Face Sunlit Fraction,
Surface Ground Heat Exchanger Bottom Surface Flux,Ground Heat Exchanger Bottom Surface Heat Transfer Energy per Area,
Surface Ground Heat Exchanger Bottom Surface Temp,Ground Heat Exchanger Bottom Surface Temperature,
Surface Ground Heat Exchanger Energy,Ground Heat Exchanger Heat Transfer Energy,
Surface Ground Heat Exchanger Heat Transfer Rate,Ground Heat Exchanger Heat Transfer Rate,
Surface Ground Heat Exchanger Inlet Temp,Ground Heat Exchanger Inlet Temperature,
Surface Ground Heat Exchanger Mass Flow Rate,Ground Heat Exchanger Mass Flow Rate,
Surface Ground Heat Exchanger Outlet Temp,Ground Heat Exchanger Outlet Temperature,
Surface Ground Heat Exchanger Source Temp,Ground Heat Exchanger Source Temperature,
Surface Ground Heat Exchanger Surface Energy,Ground Heat Exchanger Surface Heat Transfer Energy,
Surface Ground Heat Exchanger Surface Heat Transfer Rate,Ground Heat Exchanger Surface Heat Transfer Rate,
Surface Ground Heat Exchanger Top Surface Flux,Ground Heat Exchanger Top Surface Heat Transfer Energy per Area,
Surface Ground Heat Exchanger Top Surface Temp,Ground Heat Exchanger Top Surface Temperature,
Surface Ground Temperature,Site Surface Ground Temperature,
Surface Inside Convection Classification Code,Surface Inside Face Convection Classification Index,
Surface Inside Convection Model Equation Code,Surface Inside Face Convection Model Equation Index,
Surface Inside Convection Reference Air Code,Surface Inside Face Convection Reference Air Index,
Surface Outside Convection Classification Code,Surface Outside Face Convection Classification Index,
Surface Outside Face Outdoor Air Dry Bulb Temperature,Surface Outside Face Outdoor Air Drybulb Temperature,
Surface Outside Face Outdoor Air Wet Bulb Temperature,Surface Outside Face Outdoor Air Wetbulb Temperature,
Surface Outside Face Outdoor Wind Velocity,Surface Outside Face Outdoor Air Wind Speed,
Surface Outside Forced Convection Model Equation Code,Surface Outside Face Forced Convection Model Equation Index,
Surface Outside Natural Convection Model Equation Code,Surface Outside Face Natural Convection Model Equation Index,
Switchable Window System Switching Factor,Surface Window Switchable Glazing Switching Factor,
Switchable Window System Visible Transmittance,Surface Window Switchable Glazing Visible Transmittance,
System Node Carbon Dioxide Concentration,System Node CO2 Concentration,
System Node EnthalpyLastTimestep,System Node Last Timestep Enthalpy,
System Node Generic Contaminant Concentration,System Node Generic Air Contaminant Concentration,
System Node MassFlowRate,System Node Mass Flow Rate,
System Node MassFlowRateMax,System Node Maximum Limit Mass Flow Rate,
System Node MassFlowRateMaxAvail,System Node Maximum Available Mass Flow Rate,
System Node MassFlowRateMin,System Node Minimum Limit Mass Flow Rate,
System Node MassFlowRateMinAvail,System Node Minimum Available Mass Flow Rate,
System Node MassFlowRateRequest,System Node Requested Mass Flow Rate,
System Node MassFlowRateSetPoint,System Node Setpoint Mass Flow Rate,
System Node Setpoint Humidity Ratio Max,System Node Setpoint Maximum Humidity Ratio,
System Node Setpoint Humidity Ratio Min,System Node Setpoint Minimum Humidity Ratio,
System Node Setpoint Temp,System Node Setpoint Temperature,
System Node Setpoint Temp Hi,System Node Setpoint High Temperature,
System Node Setpoint Temp Lo,System Node Setpoint Low Temperature,
System Node Temp,System Node Temperature,
System Node TempLastTimestep,System Node Last Timestep Temperature,
System Node TempMax,System Node Maximum Temperature,
System Node TempMin,System Node Minimum Temperature,
System Node Volume Flow Rate Current Density,System Node Current Density Volume Flow Rate,
System Node Volume Flow Rate Standard Density,System Node Standard Density Volume Flow Rate,
System Node Wetbulb Temp,System Node Wetbulb Temperature,
TDD Beam Solar Transmittance,Tubular Daylighting Device Beam Solar Transmittance,
TDD Beam Visible Transmittance,Tubular Daylighting Device Beam Visible Transmittance,
TDD Diffuse Solar Transmittance,Tubular Daylighting Device Diffuse Solar Transmittance,
TDD Diffuse Visible Transmittance,Tubular Daylighting Device Diffuse Visible Transmittance,
TDD Heat Gain,Tubular Daylighting Device Heat Gain Rate,
TDD Heat Loss,Tubular Daylighting Device Heat Loss Rate,
TDD Pipe Absorbed Solar,Tubular Daylighting Device Pipe Absorbed Solar Radiation Rate,
TDD Transmitted Solar,Tubular Daylighting Device Transmitted Solar Radiation Rate,
Thermal Chimney Air Outlet Temperature,Zone Thermal Chimney Outlet Temperature,
Thermal Chimney Total Mass Flow Rate,Zone Thermal Chimney Mass Flow Rate,
Thermal Chimney Total Volume Flow Rate,Zone Thermal Chimney Volume Flow Rate,
ThermalComfort Operative Temperature,Zone Thermal Comfort Operative Temperature,
ThermalComfortMRT,Zone Thermal Comfort Mean Radiant Temperature,
Time Any Zone Temperature Oscillating,Facility Any Zone Oscillating Temperatures Time,
Time Cooling Setpoint Not Met,Zone Cooling Setpoint Not Met Time,
Time Cooling Setpoint Not Met Any Zone,Facility Cooling Setpoint Not Met Time,
Time Cooling Setpoint Not Met While Occupied,Zone Cooling Setpoint Not Met While Occupied Time,
Time Cooling Setpoint Not Met While Occupied Any Zone,Facility Cooling Setpoint Not Met While Occupied Time,
Time Exceeding Daylight Illuminance Setpoint at Ref Point 1,Daylighting Reference Point 1 Daylight Illuminance Setpoint Exceeded Time,
Time Exceeding Daylight Illuminance Setpoint at Ref Point 2,Daylighting Reference Point 2 Daylight Illuminance Setpoint Exceeded Time,
Time Exceeding Glare Index Setpoint at Ref Point 1,Daylighting Reference Point 1 Glare Index Setpoint Exceeded Time,
Time Exceeding Glare Index Setpoint at Ref Point 2,Daylighting Reference Point 2 Glare Index Setpoint Exceeded Time,
Time Heating Setpoint Not Met,Zone Heating Setpoint Not Met Time,
Time Heating Setpoint Not Met Any Zone,Facility Heating Setpoint Not Met Time,
Time Heating Setpoint Not Met While Occupied,Zone Heating Setpoint Not Met While Occupied Time,
Time Heating Setpoint Not Met While Occupied Any Zone,Facility Heating Setpoint Not Met While Occupied Time,
Time Not Comfortable Summer Clothes,Zone Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time,
Time Not Comfortable Summer Clothes Any Zone,Facility Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time,
Time Not Comfortable Summer Or Winter Clothes,Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time,
Time Not Comfortable Summer Or Winter Clothes Any Zone,Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time,
Time Not Comfortable Winter Clothes,Zone Thermal Comfort ASHRAE 55 Simple Model Winter Clothes Not Comfortable Time,
